Hostname,IP
CY.lazerpenguin.com,185.191.206.70
CY.lazerpenguin.com,185.191.206.71
CY.lazerpenguin.com,185.191.206.80
CY.lazerpenguin.com,185.191.206.88
CY.lazerpenguin.com,185.191.206.76
CY.lazerpenguin.com,185.191.206.91
CY.lazerpenguin.com,185.191.206.89
CY.lazerpenguin.com,185.191.206.86
CY.lazerpenguin.com,185.191.206.78
CY.lazerpenguin.com,185.191.206.87
CY.lazerpenguin.com,185.191.206.77
CY.lazerpenguin.com,185.191.206.72
CY.lazerpenguin.com,185.191.206.85
CY.lazerpenguin.com,185.191.206.90
CY.lazerpenguin.com,185.191.206.69
CY.lazerpenguin.com,185.191.206.73
CZ.lazerpenguin.com,45.84.122.41
CZ.lazerpenguin.com,45.84.122.21
CZ.lazerpenguin.com,45.84.122.8
CZ.lazerpenguin.com,45.84.122.39
CZ.lazerpenguin.com,45.84.122.37
CZ.lazerpenguin.com,45.84.122.7
CZ.lazerpenguin.com,45.84.122.27
CZ.lazerpenguin.com,45.84.122.38
CZ.lazerpenguin.com,45.84.122.3
CZ.lazerpenguin.com,45.84.122.28
CZ.lazerpenguin.com,45.84.122.30
CZ.lazerpenguin.com,45.84.122.9
CZ.lazerpenguin.com,45.84.122.4
CZ.lazerpenguin.com,45.84.122.26
CZ.lazerpenguin.com,45.84.122.5
CZ.lazerpenguin.com,45.84.122.29
CZ.lazerpenguin.com,45.84.122.6
CZ.lazerpenguin.com,45.84.122.35
DK.lazerpenguin.com,146.70.89.148
DK.lazerpenguin.com,193.29.107.131
DK.lazerpenguin.com,193.29.107.41
DK.lazerpenguin.com,193.29.107.35
DK.lazerpenguin.com,146.70.89.118
DK.lazerpenguin.com,185.212.169.119
DK.lazerpenguin.com,146.70.89.115
DK.lazerpenguin.com,193.29.107.36
DK.lazerpenguin.com,146.70.89.120
DK.lazerpenguin.com,193.29.107.151
DK.lazerpenguin.com,185.245.84.8
DK.lazerpenguin.com,146.70.89.153
DK.lazerpenguin.com,185.245.84.5
DK.lazerpenguin.com,146.70.89.116
DK.lazerpenguin.com,146.70.89.121
DK.lazerpenguin.com,185.245.84.7
DK.lazerpenguin.com,185.212.169.118
DK.lazerpenguin.com,146.70.89.149
DK.lazerpenguin.com,193.29.107.149
DK.lazerpenguin.com,146.70.89.152
FI.lazerpenguin.com,185.77.218.222
FI.lazerpenguin.com,185.103.110.247
FI.lazerpenguin.com,185.103.110.246
FI.lazerpenguin.com,185.77.217.127
FI.lazerpenguin.com,185.103.110.251
FI.lazerpenguin.com,185.103.110.248
FI.lazerpenguin.com,185.77.217.128
FI.lazerpenguin.com,185.77.217.126
FI.lazerpenguin.com,185.77.217.178
FI.lazerpenguin.com,185.112.82.143
FI.lazerpenguin.com,185.77.217.173
FI.lazerpenguin.com,185.77.218.221
FI.lazerpenguin.com,185.103.110.252
FI.lazerpenguin.com,185.77.218.223
FI.lazerpenguin.com,185.77.218.220
FI.lazerpenguin.com,185.112.82.142
FI.lazerpenguin.com,185.77.217.129
FI.lazerpenguin.com,185.112.82.147
FI.lazerpenguin.com,185.77.217.124
FI.lazerpenguin.com,185.112.82.144
FR.lazerpenguin.com,64.31.4.103
FR.lazerpenguin.com,45.32.151.1
FR.lazerpenguin.com,173.199.71.82
FR.lazerpenguin.com,95.179.220.165
FR.lazerpenguin.com,107.191.47.6
FR.lazerpenguin.com,64.31.4.55
FR.lazerpenguin.com,208.115.248.68
FR.lazerpenguin.com,108.61.176.151
FR.lazerpenguin.com,64.31.4.100
FR.lazerpenguin.com,64.31.4.87
FR.lazerpenguin.com,45.77.61.52
FR.lazerpenguin.com,45.77.63.16
FR.lazerpenguin.com,95.179.218.135
FR.lazerpenguin.com,217.69.4.248
FR.lazerpenguin.com,45.32.148.233
FR.lazerpenguin.com,45.32.148.252
FR.lazerpenguin.com,45.32.147.237
FR.lazerpenguin.com,95.179.223.127
FR.lazerpenguin.com,217.69.12.91
FR.lazerpenguin.com,45.63.114.239
DE.lazerpenguin.com,159.89.31.59
DE.lazerpenguin.com,164.92.255.228
DE.lazerpenguin.com,164.90.216.117
DE.lazerpenguin.com,64.226.122.179
DE.lazerpenguin.com,208.115.224.247
DE.lazerpenguin.com,64.226.113.114
DE.lazerpenguin.com,167.71.59.14
DE.lazerpenguin.com,139.59.142.239
DE.lazerpenguin.com,165.22.68.35
DE.lazerpenguin.com,164.92.142.171
DE.lazerpenguin.com,167.71.37.218
DE.lazerpenguin.com,164.92.194.213
DE.lazerpenguin.com,164.92.206.84
DE.lazerpenguin.com,64.226.97.71
DE.lazerpenguin.com,188.166.160.127
DE.lazerpenguin.com,46.101.175.172
DE.lazerpenguin.com,134.209.226.141
DE.lazerpenguin.com,208.115.224.227
DE.lazerpenguin.com,64.226.121.247
DE.lazerpenguin.com,209.38.197.14
GR.lazerpenguin.com,195.146.6.109
GR.lazerpenguin.com,195.146.6.127
GR.lazerpenguin.com,195.146.6.132
GR.lazerpenguin.com,195.146.6.129
GR.lazerpenguin.com,195.146.6.122
GR.lazerpenguin.com,195.146.6.115
GR.lazerpenguin.com,195.146.6.118
GR.lazerpenguin.com,195.146.6.121
GR.lazerpenguin.com,195.146.6.128
GR.lazerpenguin.com,195.146.6.123
GR.lazerpenguin.com,195.146.6.108
GR.lazerpenguin.com,195.146.6.112
GR.lazerpenguin.com,195.146.6.117
GR.lazerpenguin.com,195.146.6.120
GR.lazerpenguin.com,195.146.6.133
GR.lazerpenguin.com,195.146.6.124
GR.lazerpenguin.com,195.146.6.131
GR.lazerpenguin.com,195.146.6.119
GR.lazerpenguin.com,195.146.6.114
GR.lazerpenguin.com,195.146.6.110
HU.lazerpenguin.com,185.252.223.41
HU.lazerpenguin.com,185.252.223.37
HU.lazerpenguin.com,185.252.223.39
HU.lazerpenguin.com,185.252.223.6
HU.lazerpenguin.com,185.252.223.9
HU.lazerpenguin.com,185.252.223.22
HU.lazerpenguin.com,185.252.223.8
HU.lazerpenguin.com,185.252.223.4
HU.lazerpenguin.com,185.252.223.40
HU.lazerpenguin.com,185.252.223.19
HU.lazerpenguin.com,185.252.223.23
HU.lazerpenguin.com,185.252.223.25
HU.lazerpenguin.com,185.252.223.38
HU.lazerpenguin.com,185.252.223.7
HU.lazerpenguin.com,185.252.223.35
HU.lazerpenguin.com,185.252.223.24
HU.lazerpenguin.com,185.252.223.3
HU.lazerpenguin.com,185.252.223.36
HU.lazerpenguin.com,185.252.223.21
IE.lazerpenguin.com,146.70.227.35
IE.lazerpenguin.com,146.70.227.69
IE.lazerpenguin.com,185.252.222.23
IE.lazerpenguin.com,146.70.227.84
IE.lazerpenguin.com,185.252.222.36
IE.lazerpenguin.com,146.70.227.70
IE.lazerpenguin.com,146.70.227.36
IE.lazerpenguin.com,146.70.227.37
IE.lazerpenguin.com,185.252.222.5
IE.lazerpenguin.com,146.70.227.19
IE.lazerpenguin.com,146.70.227.21
IE.lazerpenguin.com,146.70.227.71
IE.lazerpenguin.com,146.70.227.67
IE.lazerpenguin.com,146.70.227.56
IE.lazerpenguin.com,185.252.222.3
IE.lazerpenguin.com,185.252.222.24
IE.lazerpenguin.com,185.252.222.38
IE.lazerpenguin.com,185.252.222.21
IE.lazerpenguin.com,185.252.222.9
IE.lazerpenguin.com,146.70.227.22
IT.lazerpenguin.com,45.9.251.212
IT.lazerpenguin.com,98.98.148.131
IT.lazerpenguin.com,45.9.251.198
IT.lazerpenguin.com,158.58.172.42
IT.lazerpenguin.com,158.58.172.12
IT.lazerpenguin.com,158.58.172.37
IT.lazerpenguin.com,158.58.172.90
IT.lazerpenguin.com,158.58.172.92
IT.lazerpenguin.com,45.9.251.196
IT.lazerpenguin.com,45.9.251.200
IT.lazerpenguin.com,45.9.251.85
IT.lazerpenguin.com,98.98.148.169
IT.lazerpenguin.com,98.98.148.162
IT.lazerpenguin.com,45.9.251.116
IT.lazerpenguin.com,45.9.251.86
IT.lazerpenguin.com,45.9.251.199
IT.lazerpenguin.com,98.98.148.130
IT.lazerpenguin.com,158.58.172.53
IT.lazerpenguin.com,98.98.148.152
IT.lazerpenguin.com,158.58.172.62
LV.lazerpenguin.com,185.135.84.45
LV.lazerpenguin.com,185.135.85.252
LV.lazerpenguin.com,185.135.84.36
LV.lazerpenguin.com,185.135.85.251
LV.lazerpenguin.com,185.135.84.37
LV.lazerpenguin.com,185.135.84.43
LV.lazerpenguin.com,185.135.84.35
LV.lazerpenguin.com,185.135.84.44
LV.lazerpenguin.com,185.135.85.253
LT.lazerpenguin.com,195.238.127.189
LT.lazerpenguin.com,195.238.124.56
LT.lazerpenguin.com,195.238.124.37
LT.lazerpenguin.com,195.238.124.54
LT.lazerpenguin.com,195.238.124.39
LT.lazerpenguin.com,195.238.124.57
LT.lazerpenguin.com,195.238.124.52
LT.lazerpenguin.com,195.238.124.47
LT.lazerpenguin.com,195.238.127.188
LT.lazerpenguin.com,195.238.124.53
LT.lazerpenguin.com,195.238.124.38
LT.lazerpenguin.com,195.238.124.46
LT.lazerpenguin.com,195.238.127.203
LT.lazerpenguin.com,195.238.124.45
LT.lazerpenguin.com,195.238.124.55
LT.lazerpenguin.com,195.238.124.50
LT.lazerpenguin.com,195.238.127.205
LT.lazerpenguin.com,195.238.124.48
LT.lazerpenguin.com,195.238.124.35
LT.lazerpenguin.com,195.238.124.51
NL.lazerpenguin.com,152.42.141.10
NL.lazerpenguin.com,188.166.119.74
NL.lazerpenguin.com,104.248.87.160
NL.lazerpenguin.com,165.232.94.221
NL.lazerpenguin.com,164.90.207.134
NL.lazerpenguin.com,104.248.203.132
NL.lazerpenguin.com,167.99.220.229
NL.lazerpenguin.com,165.232.85.147
NL.lazerpenguin.com,68.183.11.194
NL.lazerpenguin.com,134.122.57.159
NL.lazerpenguin.com,142.93.143.204
NL.lazerpenguin.com,142.93.231.36
NL.lazerpenguin.com,159.223.7.132
NL.lazerpenguin.com,206.189.109.238
NL.lazerpenguin.com,68.183.14.106
NL.lazerpenguin.com,209.38.47.14
NL.lazerpenguin.com,164.92.215.118
NL.lazerpenguin.com,142.93.137.135
NL.lazerpenguin.com,142.93.142.81
NL.lazerpenguin.com,165.22.198.54
PL.lazerpenguin.com,70.34.244.139
PL.lazerpenguin.com,64.176.64.49
PL.lazerpenguin.com,70.34.244.52
PL.lazerpenguin.com,64.176.65.169
PL.lazerpenguin.com,5.253.206.179
PL.lazerpenguin.com,64.176.71.8
PL.lazerpenguin.com,70.34.254.160
PL.lazerpenguin.com,70.34.250.178
PL.lazerpenguin.com,64.176.66.99
PL.lazerpenguin.com,45.128.38.73
PL.lazerpenguin.com,64.176.66.65
PL.lazerpenguin.com,70.34.246.217
PL.lazerpenguin.com,64.176.71.168
PL.lazerpenguin.com,5.253.206.35
PL.lazerpenguin.com,5.253.206.184
PL.lazerpenguin.com,5.253.206.41
PL.lazerpenguin.com,70.34.248.139
PL.lazerpenguin.com,45.128.38.69
PL.lazerpenguin.com,45.128.38.70
PL.lazerpenguin.com,45.128.38.72
PT.lazerpenguin.com,185.113.143.33
PT.lazerpenguin.com,185.113.143.31
PT.lazerpenguin.com,185.113.140.112
PT.lazerpenguin.com,185.113.143.30
PT.lazerpenguin.com,185.113.140.243
PT.lazerpenguin.com,185.113.143.34
PT.lazerpenguin.com,185.113.140.115
PT.lazerpenguin.com,185.113.140.130
PT.lazerpenguin.com,185.113.140.244
PT.lazerpenguin.com,185.113.140.242
PT.lazerpenguin.com,185.113.140.240
PT.lazerpenguin.com,185.113.143.35
PT.lazerpenguin.com,185.113.140.131
RO.lazerpenguin.com,146.70.164.8
RO.lazerpenguin.com,146.70.164.36
RO.lazerpenguin.com,185.181.103.8
RO.lazerpenguin.com,146.70.164.9
RO.lazerpenguin.com,146.70.164.21
RO.lazerpenguin.com,146.70.164.39
RO.lazerpenguin.com,91.195.98.52
RO.lazerpenguin.com,185.181.103.7
RO.lazerpenguin.com,185.181.103.6
RO.lazerpenguin.com,146.70.164.55
RO.lazerpenguin.com,91.195.98.51
RO.lazerpenguin.com,146.70.164.57
RO.lazerpenguin.com,146.70.164.4
RO.lazerpenguin.com,91.195.98.55
RO.lazerpenguin.com,146.70.164.38
RO.lazerpenguin.com,146.70.164.53
RO.lazerpenguin.com,146.70.164.35
RO.lazerpenguin.com,146.70.164.52
RO.lazerpenguin.com,146.70.164.51
RO.lazerpenguin.com,185.181.103.3
SI.lazerpenguin.com,212.44.120.23
SI.lazerpenguin.com,212.44.120.27
SI.lazerpenguin.com,212.44.120.28
SI.lazerpenguin.com,212.44.120.18
SI.lazerpenguin.com,212.44.120.17
SI.lazerpenguin.com,212.44.120.24
SI.lazerpenguin.com,212.44.120.16
SI.lazerpenguin.com,212.44.120.26
SI.lazerpenguin.com,212.44.120.25
SI.lazerpenguin.com,212.44.120.10
SI.lazerpenguin.com,212.44.120.11
SI.lazerpenguin.com,212.44.120.6
SI.lazerpenguin.com,212.44.120.19
SI.lazerpenguin.com,212.44.120.3
SI.lazerpenguin.com,212.44.120.20
SI.lazerpenguin.com,212.44.120.29
SI.lazerpenguin.com,212.44.120.7
SI.lazerpenguin.com,212.44.120.9
ES.lazerpenguin.com,65.20.101.24
ES.lazerpenguin.com,208.85.19.35
ES.lazerpenguin.com,98.98.171.103
ES.lazerpenguin.com,98.98.171.34
ES.lazerpenguin.com,185.93.182.135
ES.lazerpenguin.com,65.20.97.143
ES.lazerpenguin.com,208.76.222.232
ES.lazerpenguin.com,98.98.171.98
ES.lazerpenguin.com,98.98.171.71
ES.lazerpenguin.com,208.85.16.206
ES.lazerpenguin.com,208.76.221.252
ES.lazerpenguin.com,65.20.101.68
ES.lazerpenguin.com,65.20.96.57
ES.lazerpenguin.com,194.99.104.200
ES.lazerpenguin.com,23.90.188.181
ES.lazerpenguin.com,98.98.171.116
ES.lazerpenguin.com,65.20.102.172
ES.lazerpenguin.com,98.98.171.41
ES.lazerpenguin.com,208.85.18.158
ES.lazerpenguin.com,194.99.104.245
SE.lazerpenguin.com,70.34.208.83
SE.lazerpenguin.com,146.70.207.233
SE.lazerpenguin.com,98.98.190.54
SE.lazerpenguin.com,146.70.242.7
SE.lazerpenguin.com,98.98.190.36
SE.lazerpenguin.com,146.70.207.232
SE.lazerpenguin.com,146.70.242.36
SE.lazerpenguin.com,98.98.190.69
SE.lazerpenguin.com,70.34.204.21
SE.lazerpenguin.com,146.70.207.245
SE.lazerpenguin.com,146.70.242.55
SE.lazerpenguin.com,146.70.242.53
SE.lazerpenguin.com,65.20.112.61
SE.lazerpenguin.com,70.34.198.205
SE.lazerpenguin.com,98.98.190.21
SE.lazerpenguin.com,70.34.203.227
SE.lazerpenguin.com,70.34.217.48
SE.lazerpenguin.com,98.98.190.7
SE.lazerpenguin.com,146.70.242.4
SE.lazerpenguin.com,98.98.190.71
GB.lazerpenguin.com,178.128.39.206
GB.lazerpenguin.com,165.227.237.187
GB.lazerpenguin.com,178.62.84.141
GB.lazerpenguin.com,209.97.141.164
GB.lazerpenguin.com,165.232.39.13
GB.lazerpenguin.com,144.126.231.97
GB.lazerpenguin.com,134.122.103.64
GB.lazerpenguin.com,167.172.55.10
GB.lazerpenguin.com,139.59.184.132
GB.lazerpenguin.com,46.101.75.141
GB.lazerpenguin.com,23.90.184.150
GB.lazerpenguin.com,46.101.74.47
GB.lazerpenguin.com,134.209.177.222
GB.lazerpenguin.com,165.232.104.194
GB.lazerpenguin.com,134.209.185.129
GB.lazerpenguin.com,209.97.181.40
GB.lazerpenguin.com,165.232.111.236
GB.lazerpenguin.com,46.101.48.38
GB.lazerpenguin.com,188.166.173.41
GB.lazerpenguin.com,104.248.171.33
CH.lazerpenguin.com,146.70.226.3
CH.lazerpenguin.com,146.70.226.69
CH.lazerpenguin.com,146.70.226.25
CH.lazerpenguin.com,146.70.99.137
CH.lazerpenguin.com,146.70.99.135
CH.lazerpenguin.com,146.70.99.154
CH.lazerpenguin.com,146.70.99.115
CH.lazerpenguin.com,146.70.226.21
CH.lazerpenguin.com,146.70.226.41
CH.lazerpenguin.com,146.70.226.67
CH.lazerpenguin.com,146.70.226.73
CH.lazerpenguin.com,146.70.226.23
CH.lazerpenguin.com,146.70.99.151
CH.lazerpenguin.com,146.70.226.57
CH.lazerpenguin.com,146.70.226.71
CH.lazerpenguin.com,146.70.226.54
CH.lazerpenguin.com,146.70.99.138
CH.lazerpenguin.com,146.70.226.4
CH.lazerpenguin.com,146.70.226.51
CH.lazerpenguin.com,146.70.99.134
RS.lazerpenguin.com,89.38.224.215
RS.lazerpenguin.com,89.38.224.247
RS.lazerpenguin.com,89.38.224.230
RS.lazerpenguin.com,89.38.224.227
RS.lazerpenguin.com,89.38.224.212
RS.lazerpenguin.com,89.38.224.214
RS.lazerpenguin.com,89.38.224.248
RS.lazerpenguin.com,89.38.224.243
RS.lazerpenguin.com,89.38.224.213
RS.lazerpenguin.com,89.38.224.244
RS.lazerpenguin.com,89.38.224.228
RS.lazerpenguin.com,89.38.224.229
RS.lazerpenguin.com,89.38.224.245
RS.lazerpenguin.com,89.38.224.232
RS.lazerpenguin.com,89.38.224.246
RS.lazerpenguin.com,89.38.224.211
RS.lazerpenguin.com,89.38.224.249
RS.lazerpenguin.com,89.38.224.231
RS.lazerpenguin.com,89.38.224.233
RS.lazerpenguin.com,89.38.224.217
MD.lazerpenguin.com,178.175.140.163
MD.lazerpenguin.com,178.175.140.147
MD.lazerpenguin.com,178.175.140.166
MD.lazerpenguin.com,178.175.140.168
MD.lazerpenguin.com,178.175.140.153
MD.lazerpenguin.com,178.175.140.181
MD.lazerpenguin.com,178.175.140.182
MD.lazerpenguin.com,178.175.140.183
MD.lazerpenguin.com,178.175.140.185
MD.lazerpenguin.com,178.175.140.164
MD.lazerpenguin.com,178.175.140.150
MD.lazerpenguin.com,178.175.140.169
MD.lazerpenguin.com,178.175.140.149
MD.lazerpenguin.com,178.175.140.152
MD.lazerpenguin.com,178.175.140.148
MD.lazerpenguin.com,178.175.140.170
MD.lazerpenguin.com,178.175.140.179
MD.lazerpenguin.com,178.175.140.151
MD.lazerpenguin.com,178.175.140.186
AR.lazerpenguin.com,103.50.33.221
AR.lazerpenguin.com,103.50.33.226
AR.lazerpenguin.com,103.50.33.208
AR.lazerpenguin.com,103.50.33.222
AR.lazerpenguin.com,103.50.33.235
AR.lazerpenguin.com,103.50.33.220
AR.lazerpenguin.com,103.50.33.239
AR.lazerpenguin.com,103.50.33.212
AR.lazerpenguin.com,103.50.33.229
AR.lazerpenguin.com,103.50.33.207
AR.lazerpenguin.com,103.50.33.231
AR.lazerpenguin.com,103.50.33.218
AR.lazerpenguin.com,103.50.33.243
AR.lazerpenguin.com,103.50.33.219
AR.lazerpenguin.com,103.50.33.209
AR.lazerpenguin.com,103.50.33.237
AR.lazerpenguin.com,103.50.33.214
AR.lazerpenguin.com,103.50.33.244
AR.lazerpenguin.com,103.50.33.240
AR.lazerpenguin.com,103.50.33.234
BR.lazerpenguin.com,216.238.109.127
BR.lazerpenguin.com,216.238.117.208
BR.lazerpenguin.com,216.238.117.145
BR.lazerpenguin.com,216.238.102.45
BR.lazerpenguin.com,216.238.108.11
BR.lazerpenguin.com,98.98.18.146
BR.lazerpenguin.com,216.238.99.33
BR.lazerpenguin.com,216.238.104.65
BR.lazerpenguin.com,216.238.121.178
BR.lazerpenguin.com,216.238.119.239
BR.lazerpenguin.com,216.238.121.88
BR.lazerpenguin.com,216.238.117.198
BR.lazerpenguin.com,216.238.113.22
BR.lazerpenguin.com,216.238.119.249
BR.lazerpenguin.com,216.238.100.121
BR.lazerpenguin.com,216.238.111.226
BR.lazerpenguin.com,216.238.113.132
BR.lazerpenguin.com,98.98.19.226
BR.lazerpenguin.com,216.238.112.95
BR.lazerpenguin.com,216.238.116.241
CA.lazerpenguin.com,178.128.238.23
CA.lazerpenguin.com,138.197.131.166
CA.lazerpenguin.com,138.197.154.96
CA.lazerpenguin.com,147.182.155.89
CA.lazerpenguin.com,167.99.189.173
CA.lazerpenguin.com,178.128.238.215
CA.lazerpenguin.com,167.99.185.38
CA.lazerpenguin.com,134.122.46.15
CA.lazerpenguin.com,159.203.7.163
CA.lazerpenguin.com,146.190.243.170
CA.lazerpenguin.com,142.93.157.176
CA.lazerpenguin.com,147.182.157.7
CA.lazerpenguin.com,159.203.0.60
CA.lazerpenguin.com,159.89.115.73
CA.lazerpenguin.com,138.197.157.229
CA.lazerpenguin.com,165.22.238.119
CA.lazerpenguin.com,137.184.166.67
CA.lazerpenguin.com,167.99.176.236
CA.lazerpenguin.com,138.197.150.3
CA.lazerpenguin.com,159.89.112.111
CA.lazerpenguin.com,146.190.244.240
CA.lazerpenguin.com,138.197.143.4
CA.lazerpenguin.com,167.99.176.201
CA.lazerpenguin.com,167.99.189.77
CA.lazerpenguin.com,146.190.247.245
CA.lazerpenguin.com,138.197.153.218
CA.lazerpenguin.com,138.197.135.3
CA.lazerpenguin.com,147.182.147.112
CA.lazerpenguin.com,143.110.218.237
CA.lazerpenguin.com,159.89.120.160
CA.lazerpenguin.com,68.183.199.94
CA.lazerpenguin.com,68.183.207.29
CA.lazerpenguin.com,68.183.196.109
CA.lazerpenguin.com,134.122.42.41
CA.lazerpenguin.com,142.93.144.193
CA.lazerpenguin.com,159.89.118.234
CA.lazerpenguin.com,159.203.39.94
CA.lazerpenguin.com,137.184.173.101
CA.lazerpenguin.com,167.99.178.7
CA.lazerpenguin.com,138.197.155.13
CL.lazerpenguin.com,45.250.252.149
CL.lazerpenguin.com,45.250.252.165
CL.lazerpenguin.com,45.250.252.184
CL.lazerpenguin.com,45.250.252.152
CL.lazerpenguin.com,45.250.252.164
CL.lazerpenguin.com,45.250.252.182
CL.lazerpenguin.com,45.250.252.162
CL.lazerpenguin.com,45.250.252.178
CL.lazerpenguin.com,45.250.252.163
CL.lazerpenguin.com,45.250.252.167
CL.lazerpenguin.com,45.250.252.168
CL.lazerpenguin.com,45.250.252.181
CO.lazerpenguin.com,103.219.169.130
CO.lazerpenguin.com,103.219.169.229
CO.lazerpenguin.com,103.219.169.133
CO.lazerpenguin.com,103.219.169.195
CO.lazerpenguin.com,103.219.169.200
CO.lazerpenguin.com,103.219.169.178
CO.lazerpenguin.com,103.219.169.198
CO.lazerpenguin.com,103.219.169.179
CO.lazerpenguin.com,103.219.169.183
CO.lazerpenguin.com,103.219.169.216
CO.lazerpenguin.com,103.219.169.199
CO.lazerpenguin.com,103.219.169.132
CO.lazerpenguin.com,103.219.169.180
CO.lazerpenguin.com,103.219.169.230
CO.lazerpenguin.com,103.219.169.227
CO.lazerpenguin.com,103.219.169.136
CO.lazerpenguin.com,103.219.169.213
CO.lazerpenguin.com,103.219.169.134
CO.lazerpenguin.com,103.219.169.168
CO.lazerpenguin.com,103.219.169.184
MX.lazerpenguin.com,216.238.68.159
MX.lazerpenguin.com,216.238.79.24
MX.lazerpenguin.com,98.98.33.85
MX.lazerpenguin.com,98.98.33.36
MX.lazerpenguin.com,216.238.73.227
MX.lazerpenguin.com,216.238.86.99
MX.lazerpenguin.com,98.98.33.20
MX.lazerpenguin.com,98.98.33.83
MX.lazerpenguin.com,216.238.73.12
MX.lazerpenguin.com,98.98.33.41
MX.lazerpenguin.com,98.98.33.18
MX.lazerpenguin.com,98.98.33.7
MX.lazerpenguin.com,98.98.33.22
MX.lazerpenguin.com,216.238.72.77
MX.lazerpenguin.com,216.238.69.130
MX.lazerpenguin.com,98.98.33.56
MX.lazerpenguin.com,216.238.86.187
MX.lazerpenguin.com,216.238.85.47
MX.lazerpenguin.com,98.98.33.51
MX.lazerpenguin.com,216.238.83.101
PE.lazerpenguin.com,200.25.47.119
PE.lazerpenguin.com,200.25.47.134
PE.lazerpenguin.com,200.25.47.108
PE.lazerpenguin.com,200.25.47.103
PE.lazerpenguin.com,200.25.47.120
PE.lazerpenguin.com,200.25.47.113
PE.lazerpenguin.com,200.25.47.110
PE.lazerpenguin.com,200.25.47.112
PE.lazerpenguin.com,200.25.47.133
PE.lazerpenguin.com,200.25.47.107
PE.lazerpenguin.com,200.25.47.123
PE.lazerpenguin.com,200.25.47.114
PE.lazerpenguin.com,200.25.47.122
PE.lazerpenguin.com,200.25.47.106
PE.lazerpenguin.com,200.25.47.116
PE.lazerpenguin.com,200.25.47.115
PE.lazerpenguin.com,200.25.47.121
PE.lazerpenguin.com,200.25.47.109
PE.lazerpenguin.com,200.25.47.111
PE.lazerpenguin.com,200.25.47.118
US.lazerpenguin.com,174.128.180.19
US.lazerpenguin.com,173.205.176.196
US.lazerpenguin.com,174.128.181.19
US.lazerpenguin.com,192.241.218.83
US.lazerpenguin.com,167.172.112.202
US.lazerpenguin.com,192.241.215.70
US.lazerpenguin.com,174.128.180.211
US.lazerpenguin.com,174.128.177.247
US.lazerpenguin.com,174.128.180.200
US.lazerpenguin.com,174.128.181.83
US.lazerpenguin.com,165.227.25.200
US.lazerpenguin.com,174.128.180.163
US.lazerpenguin.com,174.128.180.196
US.lazerpenguin.com,174.128.181.215
US.lazerpenguin.com,192.241.218.69
US.lazerpenguin.com,174.128.176.73
US.lazerpenguin.com,173.205.176.151
US.lazerpenguin.com,174.128.180.72
